company_id,name,patent_id
a9d256f6-26f6-4553-a8ae-1a1bf4de1030,Metal Works Ramat David,4488683
3ffdc6b4-9949-4395-9aae-f90cb3a18637,"DIVERGENT TECHNOLOGIES, INC.",11872626
bdcc4e9e-662e-4d11-bc1a-7beddcb4e431,U.S. Philips Corporation,5856666
4840cedc-7dcd-4aa9-9d62-ee877f7ef128,Xerox Corporation,5204210
45778076-46c5-4875-ad40-97b3a381a155,Commonwealth Scientific and Industrial Research Organisation,5302149
849a1d8a-9308-40ce-9a86-ba9fda83709b,adidas AG,D397841
74c11be2-20ec-49fe-ac26-d839d375bd32,MITSUBISHI ELECTRIC CORPORATION,11652542
ea96c059-5267-4b52-ac70-4cd0915c519e,Hyundai Motor Company,D966936
dfdf1f1a-8f22-41dc-a7f0-855bde20ca67,CANON KABUSHIKI KAISHA,9104354
85f958bf-effb-48ff-b21a-64daf060259f,Cypress Semiconductor Corporation,6584517
8820c5e4-ce96-4425-8462-77643734534c,Keiper Recaro GmbH & Co.,4530541
23a84a9c-1ea8-4165-825f-59a421cf38e5,"Gale Australia Pty, Ltd.",6000175
32af5781-1f17-4d64-9a62-521c1f397b70,Korea Institute of Science and Technology,6277623
ff25d76a-ea22-40b9-b964-aeb3914ef616,"Motorola, Inc.",6970439
84602ba7-5412-413e-8419-edd008120b76,LIBERTY HARDWARE MFG. CORP.,D519753
b1688b11-53c4-46e0-951e-4f0a68d7444c,Johnson & Johnson Ind. E Com. Ltda.,8277428
0dc86831-8686-4967-a0f1-336eddd8cd49,Dow Corning Corporation,5145918
8c3c488c-e5ca-440a-bdd2-31697d75df48,"NGK SPARK PLUG CO., LTD.",8394248
724f247d-f06d-4999-bf12-989e3faf18f7,THE CHILDREN'S HOSPITAL CORPORATION,8709412
ab02ca9c-5bcf-4acf-bdec-82b74c97c861,SONY ELECTRONICS INC.,6940219
581610b2-e9d8-48b1-b2ae-4cc673b9e8f6,Dade Behring Marburg GmbH,6791676
14b95532-3183-42dd-8af6-d3b1ebaa8719,Xyrofin Oy,6221422
ab103576-f045-4a48-8713-86301a0f9f4c,"Crosslink-D, Inc.",6429787
fb2b22ce-39b7-4e23-a11f-85a9ff26d1d6,"NIPPON ELECTRIC CO., LTD.",4051388
93f8c962-7a18-45c0-b192-7a141f9a8b6c,"HITACHI, LTD.",D259782
77720265-b901-4fab-bda5-99a268361ac3,The Standard Oil Company,4544673
8ab402a0-baac-483c-b51d-c76d465b7078,Mobil Oil Corporation,4268749
50939cc4-d571-4bdf-9ce5-884ebbbedc41,KwikSpace Guam,10000939
b243e11a-1cd8-444b-9f52-afbb6746d6c4,Dowty Fuel Systems Limited,4291532
f03635c8-6b6c-4f2b-bb6c-b52678f56aae,QUALCOMM Incorporated,10163871
70f77b8f-fb49-47a0-8660-3e24907c0557,"Minolta Co., Ltd.",6943792
f4775366-9d5b-481f-a7f7-7faf3e386e43,Roche Vitamins Inc.,6376222
491ed4e9-453a-47a1-99c1-281da294ad84,RENAULT S.A.S.,10481787
55715b8e-9037-47c9-8e27-a2acf13d6047,Intel Corporation,12255972
3e28bd09-695c-46ca-9615-15159965a55e,Semiconductor Manufacturing International (Shanghai) Corporation,10629493
d278fce1-da5f-4399-844a-0339e842eec1,Serco,5097557
14033969-8355-4455-a7b2-bfca056f8913,Alcatel N.V.,5355402
ab63516f-63bd-4d65-a440-0683deb6223a,NIFCO INC.,8162369
ad91ccef-31e4-4167-a5f7-0bce362c9ff1,"Coulter Ventures, LLC.",D1055183
4db5a4e3-9d5e-4b15-aa26-f0f5de280e0d,MILESTONE ENTERTAINMENT LLC,11620876
a45783ae-9cec-49bc-bc2e-7b064aaa5907,Raytheon Company,4110045
1b07134c-9d99-4340-92f5-eb3884a8e444,THE DOW CHEMICAL COMPANY,4367310
6fc24e46-a97b-493f-8697-d53eebdd91c6,Dynamit Nobel GmbH,4126755
93f8c962-7a18-45c0-b192-7a141f9a8b6c,"HITACHI, LTD.",9978004
7bc63741-7a2f-483e-ad10-222db3eaebb0,Technit-Technische Textilien und Systeme GmbH,5765400
ade1200b-07aa-45ea-9d0c-f4ac0d415c48,"Zhuhai Kelitong Electronic Co., Ltd.",D991733
c0bcf07d-7732-405c-a8a9-9a41601478fb,"SHIN-ETSU POLYMER CO., LTD.",4203088
83c849be-f31a-410b-abcb-b9ed098533ca,"ROHM CO., LTD.",7576531
46150e0c-8edb-4d25-8256-5f90d9acc689,UNITED TECHNOLOGIES CORPORATION,7555904
906da649-dd98-4eac-a78c-d5dc3cc385b1,LG ELECTRONICS INC.,8274939
2798536d-2fc6-43a2-816a-f7d6fd8fec98,Stanadyne LLC,4336781
c5df4c94-39b1-4147-8c10-3aadb7c96e2c,"AqueSys, Inc.",10667947
7385c5f4-3dd4-4af5-b395-b0b5e8fe0b00,California Institute of Technology,8536545
cb5367eb-ebac-459a-b013-d92860572522,"Nissan Motor Co., Ltd.",4521665
ff25d76a-ea22-40b9-b964-aeb3914ef616,"Motorola, Inc.",5032825
67c9606b-94c0-4992-93e2-8f2b69aafd0c,RCA Corporation,4470871
f77ea771-4d01-4e78-99c3-d8ad15b224a6,Photonetics,5115677
bbf99fa9-45ef-46e1-8a5c-9cb25335c2a1,"Fibre Glass-Evercoat Company, Inc.",5747094
7ec24c7e-9cf7-4ae1-bc02-ac20b29086ec,Kabushiki Kaisha Daikin Seisakusho,4589293
43b0639e-bcce-4acf-95c8-c823e0193a95,Google Technology Holdings LLC,9955153
e95e8e24-abc4-48ca-a4e6-533f93c4b054,Tesat-Spacecom GmbH & Co. KG,10128811
c3f2e476-234a-44dc-b639-5e6b7a420022,INDUSTRY-UNIVERSITY COOPERATION FOUNDATION HANYANG UNIVERSITY,7829045
dfdf1f1a-8f22-41dc-a7f0-855bde20ca67,CANON KABUSHIKI KAISHA,12477602
55bc7465-2823-418d-9835-41d555c610a6,SONY GROUP CORPORATION,D478908
f68061b9-5827-43c8-8f62-33cae08b6d16,Siemens Aktiengesellschaft,7425149
50ea4207-4a29-45ae-888e-bb528bbab3be,Injectaplastic SA,D330162
dfdf1f1a-8f22-41dc-a7f0-855bde20ca67,CANON KABUSHIKI KAISHA,6515409
87bbd77e-54e0-4d95-9c1b-7843963c09eb,TOYOTA JIDOSHA KABUSHIKI KAISHA,7901319
37ba5e07-ee1c-48d0-9bb4-4aa311514c07,"GOVERNMENT OF THE UNITED STATES OF AMERICA, AS REPRESENTED BY THE SECRETARY OF COMMERCE",11493476
5836917d-49a2-4ca8-9a83-4734f00e8485,"Fleetfoot, L.L.C.",5745055
c835b9d2-3d1e-4896-84ac-bb26f2826bbc,Rohm and Haas Company,5457176
6674b19e-00dc-4dad-8048-ebfc1273f51c,Verizon Patent and Licensing Inc.,10270825
68b27ba5-0f6e-4a58-ba2e-cffb0215e094,"Lifetime Products, Inc.",D525810
e2852a20-57a2-42e7-a044-24170686d69a,"The Population Council, Inc.",5342834
d6f138ea-5fbc-4de0-b58f-9080a787105f,BASF SE,4252531
