inventor_id,name,country,patent_id
fl:we_ln:jiang-165,Wenjing Jiang,,D1006496
fl:ei_ln:baumker-1,Eiko BÄUMKER,,12029253
fl:ri_ln:kroeger-1,Richard Kroeger,,6584128
fl:th_ln:bush-1,Thomas A. Bush,,4789863
fl:ma_ln:boudreaux-4,Matthew F. Boudreaux,,11161990
fl:ge_ln:whitworth-1,Gerald Whitworth,,6795487
fl:ro_ln:egnatchik-1,Robert Egnatchik,,12324454
fl:th_ln:fleming-4,Thomas W. Fleming,,D474886
fl:du_ln:moon-7,Duck Su Moon,,11885288
fl:sa_ln:woods-2,Samuel G. Woods,,7646155
fl:ta_ln:hosoda-4,Takuya Hosoda,,4339721
fl:ev_ln:mudrane-1,Eva K. Mudráné,,6610738
0000n8nqsxhrztn7djlxou00k,Muamer Zukic,,6448562
fl:do_ln:angelosanto-1,Donald J. Angelosanto,,4432679
fl:ba_ln:james-7,Barry James,,11093663
fl:le_ln:neitzel-1,Lee Allen Neitzel,,8977851
fl:ja_ln:files-4,Jace W. Files,,10761618
fl:st_ln:parkvall-1,Stefan Parkvall,,10263820
fl:ja_ln:feine-1,James Feine,,6503081
fl:ch_ln:gaal-1,Christopher Gaal,,10082632
fl:mo_ln:narasaiah-1,Mohan Narasaiah,,D935390
fl:hi_ln:takeuchi-48,Hiroto Takeuchi,,12354161
fl:ch_ln:liu-1379,Chaopeng Liu,,D1042490
fl:jo_ln:jung-23,Joon-Young Jung,,10805689
fl:br_ln:carette-2,Brigitte Carette,,4513070
fl:mi_ln:artinger-1,Michael A. Artinger,,11585813
fl:ed_ln:zizminskas-1,Edvinas ZIZMINSKAS,,12259564
fl:je_ln:bouchet-6,Jean Bouchet,,D294010
fl:te_ln:kaneko-13,Tetsuya Kaneko,,6705909
fl:an_ln:ferreol-1,Anne Ferreol,,7423589
fl:mi_ln:rector-1,Mindy Dawn Rector,,12412163
fl:jo_ln:matta-2,Joseph E. Matta,,H976
fl:hi_ln:tanada-3,Hiroki Tanada,,10808661
fl:br_ln:brinson-2,Brad D. Brinson,,12085897
fl:se_ln:kwon-94,Se-Ah Kwon,,8873018
fl:no_ln:kunze-1,Norbert Kunze,,5027236
fl:al_ln:bulla-1,Alexandre Bulla,,6060464
fl:vi_ln:benatti-1,Vincenzo Benatti,,6495081
fl:xu_ln:dong-28,Xue Dong,,10025433
fl:ju_ln:hirooka-2,Junji Hirooka,,D291698
