patent_id,title,filing_date,year,abstract
10000000,Coherent LADAR using intra-pixel quadrature detection,2018-06-19,2018,
10000001,Injection molding machine and mold thickness control method,2018-06-19,2018,
10000002,Method for manufacturing polymer film and co-extruded film,2018-06-19,2018,
10000003,Method for producing a container from a thermoplastic,2018-06-19,2018,
10000004,"Process of obtaining a double-oriented film, co-extruded, and of low thickness made by a three bubble process that at the time of being thermoformed provides a uniform thickness in the produced tray",2018-06-19,2018,
10000005,Article vacuum formation method and vacuum forming apparatus,2018-06-19,2018,
10000006,Thermoforming mold device and a process for its manufacture and use,2018-06-19,2018,
10000007,PEX expanding tool,2018-06-19,2018,
10000008,Bracelet mold and method of use,2018-06-19,2018,
10000009,Sterile environment for additive manufacturing,2018-06-19,2018,
10000010,3-D electrostatic printer using rack and pinion registration system,2018-06-19,2018,
10000011,Supports for sintering additively manufactured parts,2018-06-19,2018,
10000014,Method for producing thermoplastic foam panels by means of at least two heating elements offset in parallel with each other,2018-06-19,2018,
10000015,"Methods for making optical components, optical components, and products including same",2018-06-19,2018,
10000016,Film edge sealing device,2018-06-19,2018,
10000017,Method for mounting a vortex generator and mounting apparatus for carrying out the method,2018-06-19,2018,
10000018,Pull tab design for stretch release adhesive,2018-06-19,2018,
10000019,Installation assembly and associated method for forming a bonded joint,2018-06-19,2018,
10000020,Method and device for producing areas in a printed object having different coefficients of friction,2018-06-19,2018,
10000021,Method for manufacturing three-dimensional shaped object and three-dimensional shaped object obtained by the same,2018-06-19,2018,
10000022,Method for processing PAEK and articles manufactured from the same,2018-06-19,2018,
10000023,Apparatus and method for forming three-dimensional objects using linear solidification,2018-06-19,2018,
10000024,Apparatus and method for control of three-dimensional printing,2018-06-19,2018,
10000025,Optimized cross-ply orientation in composite laminates,2018-06-19,2018,
10000026,Composite induction consolidation apparatus and method,2018-06-19,2018,
10000027,Apparatus and method for reshaping plastic preforms into plastic containers with an automatic changing device for handling parts,2018-06-19,2018,
10000028,Mechanical fastening nets and methods of making the same,2018-06-19,2018,
10000029,Transmission belt manufacturing method and transmission belt,2018-06-19,2018,
10000030,Manufacturing method of pneumatic tire,2018-06-19,2018,
10000031,Method for contour shaping honeycomb structures,2018-06-19,2018,
10000032,Method for operating a press with an underneath drive and press operated according thereto,2018-06-19,2018,
10000033,"Washable, waterproof, sealable and reusable storage bags",2018-06-19,2018,
10000034,Envelope Making Plate,2018-06-19,2018,
10000035,"Lightweight, high flow hose assembly and method of manufacture",2018-06-19,2018,
10000036,High kinetic energy penetrator shielding and high wear resistance materials fabricated with boron nitride nanotubes (BNNTS) and BNNT polymer composites,2018-06-19,2018,
10000037,Transparent laminate and protective tool including the same,2018-06-19,2018,
10000038,Alloy plate coated material and method of producing alloy plate coated material,2018-06-19,2018,
10000039,Multilayer interlayers having high Tg and high modulus,2018-06-19,2018,
10000040,"Floor panel, methods for manufacturing laminate panels and method for treating material sheets applied herewith",2018-06-19,2018,
10000041,Method for making a decorative multilaminar veneer,2018-06-19,2018,
10000042,Tearable polystyrene film laminate for packaging and pouch purposes,2018-06-19,2018,
10000043,Multilayer film for resealable packaging having improved resealing,2018-06-19,2018,
10000044,"Panel for making furnishings such as doors, boards, tables, furniture or the like",2018-06-19,2018,
10000045,"Multilayer tube for fuel transportation, fuel pump module provided with same, use of same, and use of fuel pump module",2018-06-19,2018,
10000046,Methods for creating thick laminate structures,2018-06-19,2018,
10000047,Method for manufacturing curved liquid crystal display panel,2018-06-19,2018,
10000048,Taping tool having improved tape advance,2018-06-19,2018,
10000049,Methods and apparatus for applying protective films,2018-06-19,2018,
10000050,"Method for the manufacture of a fibre composite component, a reinforcement element and also a fibre composite component",2018-06-19,2018,
10000051,System and method for removing three-dimensional printed parts from a platen using inductive heating and gravity,2018-06-19,2018,
10000052,Methods for rejuvenating an imaging member of an ink-based digital printing system,2018-06-19,2018,
10000053,Web displacer for a printing unit,2018-06-19,2018,
10000054,"Sheet-processing machine having a sheet-guiding drum, and method for producing a gripper system",2018-06-19,2018,
10000055,Method for operating a printing press,2018-06-19,2018,
10000056,Screen printing apparatus and paste kneading method,2018-06-19,2018,
10000057,Controlling nozzles in a print head,2018-06-19,2018,
10000058,"Liquid ejecting apparatus, drive circuit, and integrated circuit",2018-06-19,2018,
10000059,Printing apparatus and transmission cable,2018-06-19,2018,
10000060,Liquid ejecting head and liquid ejecting apparatus,2018-06-19,2018,
10000061,"Piezoelectric device, liquid ejecting head, and liquid ejecting apparatus",2018-06-19,2018,
10000062,Liquid ejecting apparatus,2018-06-19,2018,
10000063,Liquid containing member,2018-06-19,2018,
10000064,Cartridge having contact parts for fastening cartridge to holder,2018-06-19,2018,
10000065,Inkjet printing system having dynamically controlled ink reservoir,2018-06-19,2018,
10000066,"Liquid discharge head, liquid discharge device, and liquid discharge apparatus",2018-06-19,2018,
10000067,"Ink, inkjet recording method, and inkjet recorded matter",2018-06-19,2018,
10000068,Multi-drop inkjet printing apparatus,2018-06-19,2018,
10000069,Thermal transfer printer,2018-06-19,2018,
10000070,Printer and printer control method,2018-06-19,2018,
10000071,"Ribbon feeding apparatus, and tape printing apparatus equipped with the same",2018-06-19,2018,
10000072,Printer and printing jig,2018-06-19,2018,
10000073,Apparatus and method for printing on a curved glass surface,2018-06-19,2018,
10000074,Writing to an electronic imaging substate,2018-06-19,2018,
10000075,Multilayer imaging with a high-gloss clear ink layer,2018-06-19,2018,
10000076,Drying device and inkjet printer system including drying device,2018-06-19,2018,
10000078,Printer apparatus,2018-06-19,2018,
10000079,Printing device including holder supporting platen roller through bearings,2018-06-19,2018,
10000080,Random wave mask generation,2018-06-19,2018,
10000081,Transfer sheet,2018-06-19,2018,
10000082,Stamp with built-in leveling feature,2018-06-19,2018,
10000083,Thermosensitive recording medium,2018-06-19,2018,
10000084,Ink set and recording method,2018-06-19,2018,
10000085,Device and method for transferring flowable printing substances onto a printing material,2018-06-19,2018,
10000086,Binding device,2018-06-19,2018,
10000087,Method for detachable poster hanging and magnetic poster holder device,2018-06-19,2018,
10000088,Writing instrument and ink cartridge,2018-06-19,2018,
10000089,Multi-color marker,2018-06-19,2018,
10000090,Pneumatic radial tire for passenger vehicle,2018-06-19,2018,
10000091,Tire comprising a tread made up of several elastomeric compounds,2018-06-19,2018,
10000092,Pneumatic tire,2018-06-19,2018,
10000093,Tread protection device,2018-06-19,2018,
10000094,Heavy duty pneumatic tire,2018-06-19,2018,
10000095,Pneumatic tire with dimples on one or both sidewall outer surfaces,2018-06-19,2018,
10000096,Pneumatic tire,2018-06-19,2018,
10000097,Electrostatic energy generator using tire cord fabric,2018-06-19,2018,
10000098,"Tire pressure measurement device, an integrated circuit, a printed circuit board, a method and a computer program for a vehicle to receive data",2018-06-19,2018,
10000099,Tire pressure monitoring unit having a two-component housing,2018-06-19,2018,
10000100,Piezoelectric based system and method for determining tire load,2018-06-19,2018,
10000101,Machine for fitting and removing a tyre and method for operating the machine,2018-06-19,2018,
10000102,Tunable compact spring aid,2018-06-19,2018,
10000103,Method of controlling a vehicle active suspension system,2018-06-19,2018,
10000104,Damper with integrated electronics,2018-06-19,2018,
10000105,Ventilation duct for a motor vehicle,2018-06-19,2018,
10000106,Heating device for vehicle,2018-06-19,2018,
10000107,Vehicle air conditioner,2018-06-19,2018,
10000108,Refrigeration cycle device,2018-06-19,2018,
10000109,Vehicle air conditioning system,2018-06-19,2018,
10000110,Air conditioning system for motor vehicles,2018-06-19,2018,
10000111,Garnish and frame molding apparatus and method of producing a vehicle door,2018-06-19,2018,
